Data Size,Best Case,Worst Case,Average Case,Time Taken
10,2,10,7,0
15,1,15,10,0
20,1,20,12,0
25,1,25,16,0
30,1,30,20,0
35,2,35,22,0
40,2,40,28,0
45,3,45,27,0
50,1,50,27,0
55,1,55,38,0
60,1,60,38,1060
65,1,65,36,0
70,2,70,43,0
75,5,75,51,0
80,4,80,54,0
85,1,85,52,0
90,1,90,58,0
95,2,95,61,0
100,1,100,62,0
105,1,105,64,0
110,1,110,71,0
115,1,115,79,0
120,1,120,75,0
125,1,125,76,0
130,1,130,87,0
135,1,135,88,0
140,1,140,92,0
145,1,145,99,0
150,1,150,96,0
155,1,155,98,0
160,2,160,97,0
165,3,165,106,0
170,2,170,110,0
175,2,175,115,0
180,1,180,108,0
185,1,185,121,0
190,1,190,116,0
195,1,195,121,0
200,2,200,116,0
205,2,205,140,0
210,1,210,130,0
215,1,215,138,0
220,2,220,135,0
225,1,225,144,0
230,1,230,135,0
235,1,235,141,0
240,1,240,158,0
245,1,245,150,0
250,1,250,157,0
255,1,255,170,1018
260,2,260,156,0
265,2,265,169,0
270,1,270,164,0
275,2,275,177,0
280,3,280,182,0
285,1,285,188,0
290,1,290,184,0
295,1,295,187,0
300,1,300,171,0
305,1,305,181,0
310,1,310,195,1370
315,2,315,201,1171
320,1,320,193,1029
325,1,325,209,0
330,4,330,197,1022
335,2,335,218,0
340,1,340,229,0
345,3,345,226,0
350,1,350,214,0
355,1,355,229,0
360,1,360,234,0
365,3,365,216,0
370,2,370,228,997
375,1,375,248,0
380,5,380,244,1158
385,1,385,245,1020
390,1,390,254,0
395,3,395,255,0
400,3,400,249,0
405,1,405,253,0
410,1,410,261,0
415,3,415,264,0
420,1,420,266,0
425,2,425,276,1013
430,3,430,280,999
435,4,435,274,0
440,1,440,279,1016
445,2,445,286,1090
450,1,450,274,0
455,2,455,289,1092
460,1,460,291,1071
465,1,465,304,997
470,1,470,297,0
475,2,475,299,1051
480,2,480,312,1416
485,2,485,302,1018
490,1,490,302,0
495,1,495,319,1042
500,2,500,317,0
505,1,505,322,1079
510,1,510,319,996
515,2,515,324,1002
520,1,520,320,1003
525,1,525,337,1016
530,1,530,342,997
535,1,535,333,0
540,1,540,338,1054
545,2,545,339,996
550,2,550,350,1151
555,2,555,354,1020
560,2,560,343,1008
565,2,565,370,1320
570,2,570,371,1075
575,1,575,374,1037
580,1,580,384,1109
585,1,585,373,0
590,1,590,374,1048
595,1,595,384,1023
600,1,600,375,1032
605,1,605,378,991
610,1,610,376,1068
615,1,615,387,2114
620,2,620,410,1410
625,2,625,385,998
630,3,630,404,1033
635,1,635,414,1032
640,1,640,397,1070
645,3,645,415,977
650,2,650,407,2404
655,3,655,418,981
660,2,660,413,1003
665,1,665,422,1016
670,1,670,432,2066
675,1,675,432,1007
680,1,680,432,1229
685,6,685,433,1022
690,2,690,447,1034
695,1,695,452,1494
700,1,700,453,1019
705,1,705,444,1076
710,2,710,454,2152
715,1,715,468,2297
720,1,720,457,1026
725,1,725,448,2016
730,1,730,465,1554
735,1,735,476,1992
740,2,740,471,991
745,1,745,455,1014
750,2,750,470,2008
755,1,755,487,2457
760,4,760,481,2045
765,1,765,465,1003
770,2,770,488,2051
775,1,775,483,2015
780,1,780,478,2005
785,1,785,508,2545
790,1,790,512,2251
795,1,795,502,1651
800,3,800,508,2012
805,3,805,506,2007
810,2,810,510,1028
815,2,815,518,2045
820,2,820,536,2397
825,4,825,521,1998
830,1,830,520,2007
835,1,835,515,1993
840,1,840,535,2056
845,1,845,521,3002
850,1,850,530,1988
855,1,855,558,3189
860,1,860,549,3369
865,1,865,549,3322
870,1,870,573,2097
875,4,875,552,2445
880,1,880,576,2312
885,1,885,562,2365
890,1,890,574,2185
895,1,895,565,2076
900,1,900,576,2506
905,2,905,583,3042
910,1,910,584,2057
915,1,915,578,1402
920,1,920,586,3009
925,2,925,601,3275
930,5,930,595,3575
935,1,935,586,3583
940,1,940,602,3721
945,1,945,601,3351
950,1,950,606,2060
955,1,955,612,1895
960,3,960,615,2783
965,1,965,626,2993
970,1,970,617,2476
975,2,975,612,3384
980,1,980,618,3484
985,1,985,624,2183
990,3,990,618,3211
995,1,995,627,3099
1000,1,1000,642,3224
