Data Size,Best Case,Worst Case,Average Case,Time Taken
10,1,10,6,0
15,1,15,11,0
20,2,20,15,0
25,2,25,18,0
30,1,30,17,0
35,3,35,25,0
40,1,40,26,0
45,2,45,30,0
50,2,50,32,0
55,2,55,42,0
60,1,60,41,0
65,1,65,45,0
70,1,70,42,0
75,1,75,51,0
80,1,80,54,0
85,1,85,53,0
90,1,90,58,0
95,2,95,57,0
100,1,100,66,0
105,1,105,68,0
110,1,110,64,0
115,1,115,73,0
120,1,120,74,0
125,2,125,81,0
130,1,130,83,0
135,2,135,83,0
140,1,140,86,0
145,2,145,85,0
150,2,150,97,0
155,1,155,96,0
160,2,160,89,0
165,1,165,107,0
170,1,170,110,0
175,1,175,117,0
180,1,180,109,0
185,4,185,121,0
190,2,190,119,0
195,1,195,125,14010
200,3,200,129,0
205,1,205,127,0
210,1,210,135,0
215,1,215,123,0
220,1,220,129,0
225,3,225,148,0
230,2,230,142,0
235,1,235,152,0
240,3,240,154,0
245,3,245,166,0
250,1,250,163,0
255,1,255,161,0
260,4,260,166,0
265,1,265,169,0
270,1,270,165,0
275,2,275,179,0
280,1,280,171,1521
285,1,285,186,0
290,1,290,179,0
295,4,295,184,0
300,3,300,191,0
305,2,305,186,0
310,3,310,179,0
315,1,315,195,0
320,2,320,203,0
325,1,325,192,0
330,1,330,201,1203
335,1,335,212,0
340,1,340,219,0
345,1,345,212,516
350,1,350,232,0
355,3,355,226,0
360,1,360,235,0
365,2,365,239,0
370,1,370,238,0
375,1,375,245,0
380,1,380,239,0
385,1,385,245,0
390,1,390,257,0
395,1,395,240,0
400,2,400,248,0
405,3,405,254,0
410,3,410,263,0
415,1,415,254,0
420,1,420,248,0
425,1,425,265,0
430,1,430,285,0
435,1,435,278,0
440,1,440,282,0
445,2,445,277,0
450,1,450,290,0
455,1,455,276,0
460,2,460,287,0
465,3,465,298,0
470,1,470,285,0
475,1,475,305,0
480,1,480,295,0
485,1,485,306,0
490,1,490,317,0
495,2,495,308,0
500,1,500,329,0
505,2,505,324,0
510,1,510,317,0
515,1,515,333,0
520,1,520,331,0
525,1,525,328,0
530,1,530,348,0
535,1,535,331,0
540,1,540,345,0
545,1,545,339,0
550,1,550,341,0
555,1,555,362,0
560,1,560,339,0
565,2,565,353,0
570,3,570,363,0
575,3,575,354,0
580,1,580,349,0
585,1,585,368,0
590,1,590,374,0
595,2,595,376,1456
600,1,600,377,0
605,1,605,385,0
610,1,610,388,0
615,1,615,392,0
620,2,620,377,0
625,4,625,377,0
630,2,630,392,0
635,1,635,388,0
640,1,640,394,0
645,2,645,406,0
650,6,650,410,0
655,1,655,456,0
660,2,660,412,0
665,1,665,429,0
670,3,670,436,0
675,1,675,429,0
680,2,680,421,0
685,3,685,435,0
690,2,690,435,0
695,1,695,440,0
700,1,700,443,0
705,1,705,467,0
710,1,710,443,0
715,1,715,440,0
720,1,720,453,14568
725,4,725,454,0
730,2,730,464,1645
735,1,735,488,529
740,1,740,472,0
745,1,745,466,0
750,2,750,481,0
755,1,755,482,0
760,2,760,449,0
765,3,765,473,0
770,1,770,478,0
775,1,775,490,0
780,3,780,478,0
785,2,785,496,0
790,1,790,492,0
795,1,795,512,0
800,1,800,506,0
805,1,805,504,0
810,2,810,514,0
815,1,815,500,0
820,1,820,514,13539
825,1,825,533,1526
830,1,830,533,516
835,2,835,522,0
840,2,840,529,0
845,1,845,525,0
850,1,850,524,0
855,1,855,557,0
860,1,860,548,0
865,1,865,533,0
870,1,870,569,0
875,2,875,580,0
880,2,880,563,0
885,1,885,563,0
890,1,890,571,0
895,2,895,565,0
900,1,900,567,14039
905,3,905,573,1466
910,3,910,578,516
915,1,915,568,0
920,1,920,590,0
925,2,925,572,0
930,2,930,588,0
935,1,935,594,0
940,1,940,594,0
945,1,945,616,0
950,1,950,611,0
955,1,955,619,0
960,2,960,614,0
965,1,965,628,14039
970,1,970,620,906
975,1,975,620,1619
980,1,980,634,0
985,2,985,604,1954
990,1,990,645,1770
995,1,995,617,0
1000,2,1000,647,0
